age,d18O,Ca2
20,-35.13,NA
40,-35.13,NA
40,-35.55,NA
60,-35.55,NA
60,-35.16,NA
80,-35.16,NA
80,-35.59,NA
100,-35.59,NA
100,-35.24,NA
120,-35.24,NA
120,-35.3,NA
140,-35.3,NA
140,-34.79,NA
160,-34.79,NA
160,-35.14,NA
180,-35.14,NA
180,-35.39,NA
200,-35.39,NA
200,-34.93,NA
220,-34.93,NA
220,-35.56,NA
240,-35.56,NA
240,-35.11,NA
260,-35.11,NA
260,-35.11,NA
280,-35.11,NA
280,-35.41,NA
300,-35.41,NA
300,-35.64,NA
320,-35.64,NA
320,-34.89,NA
340,-34.89,NA
340,-35.43,NA
360,-35.43,NA
360,-35.19,NA
380,-35.19,NA
380,-35.29,NA
400,-35.29,NA
400,-34.97,NA
420,-34.97,NA
420,-35.17,NA
440,-35.17,NA
440,-35.08,NA
460,-35.08,NA
460,-35.02,NA
480,-35.02,NA
480,-34.99,NA
500,-34.99,NA
500,-35.56,NA
520,-35.56,NA
520,-35.3,NA
540,-35.3,NA
540,-34.87,NA
560,-34.87,NA
560,-35.71,NA
580,-35.71,NA
580,-34.98,NA
600,-34.98,NA
600,-35.39,NA
620,-35.39,NA
620,-35.84,NA
640,-35.84,NA
640,-35.74,NA
660,-35.74,NA
660,-35.58,NA
680,-35.58,NA
680,-35.18,NA
700,-35.18,NA
700,-35.14,NA
720,-35.14,NA
720,-35.5,NA
740,-35.5,NA
740,-35.56,NA
760,-35.56,NA
760,-34.85,NA
780,-34.85,NA
780,-35.32,NA
800,-35.32,NA
800,-35.5,NA
820,-35.5,NA
820,-35.52,NA
840,-35.52,NA
840,-35.71,NA
860,-35.71,NA
860,-35.14,NA
880,-35.14,NA
880,-36.02,NA
900,-36.02,NA
900,-35.1,NA
920,-35.1,NA
920,-35.33,NA
940,-35.33,NA
940,-35.46,NA
960,-35.46,NA
960,-35.29,NA
980,-35.29,NA
980,-35.29,NA
1000,-35.29,NA
1000,-35.6,NA
1020,-35.6,NA
1020,-34.56,NA
1040,-34.56,NA
1040,-34.87,NA
1060,-34.87,NA
1060,-35.09,NA
1080,-35.09,NA
1080,-34.9,NA
1100,-34.9,NA
1100,-35.5,NA
1120,-35.5,NA
1120,-35.5,NA
1140,-35.5,NA
1140,-35.41,NA
1160,-35.41,NA
1160,-35.07,NA
1180,-35.07,NA
1180,-35.6,NA
1200,-35.6,NA
1200,-35.01,NA
1220,-35.01,NA
1220,-34.94,NA
1240,-34.94,NA
1240,-34.39,NA
1260,-34.39,NA
1260,-35.14,NA
1280,-35.14,NA
1280,-35.11,NA
1300,-35.11,NA
1300,-35.44,NA
1320,-35.44,NA
1320,-35.26,NA
1340,-35.26,NA
1340,-35.06,NA
1360,-35.06,NA
1360,-35.16,NA
1380,-35.16,NA
1380,-35.1,NA
1400,-35.1,NA
1400,-35.47,NA
1420,-35.47,NA
1420,-35.4,NA
1440,-35.4,NA
1440,-34.8,NA
1460,-34.8,NA
1460,-35.62,NA
1480,-35.62,NA
1480,-35.67,NA
